PersonCode,Real Name,Birthdate,Death Date,Sex,Note,Goc,Generation,Death Date (Vietnamese Lunar)
man1,Henry Carter,01/01/1549,01/01/1619,M,,,1,13/12/1618 Âm lịch
man1w1,Alice Turner,01/01/1551,01/01/1621,F,,,1,14/12/1620 Âm lịch
man1w2,Jane Foster,01/01/1553,01/01/1623,F,,,1,15/12/1622 Âm lịch
C1,Thomas Carter,01/01/1567,01/01/1637,M,,#man1,2,13/12/1636 Âm lịch
C1w1,Sarah Miles,01/01/1569,01/01/1639,F,,,2,14/12/1638 Âm lịch
C1w2,Ellen Gray,01/01/1571,01/01/1641,F,,,2,15/12/1640 Âm lịch
C2,William Carter,01/01/1567,01/01/1639,M,,#man1,2,14/12/1638 Âm lịch
C2w1,Margaret Lee,01/01/1569,01/01/1639,F,,,2,14/12/1638 Âm lịch
C2w2,Rose Evans,01/01/1571,01/01/1641,F,,,2,15/12/1640 Âm lịch
C3,Edward Carter,01/01/1567,01/01/1637,M,,#man1,2,13/12/1636 Âm lịch
C3w1,Grace Hill,01/01/1569,01/01/1639,F,,,2,14/12/1638 Âm lịch
C3w2,Anne Brooks,01/01/1571,01/01/1641,F,,,2,15/12/1640 Âm lịch
C1g,Mary Carter,01/01/1571,01/01/1641,F,,,2,15/12/1640 Âm lịch
C3g,Ellen Carter,01/01/1571,01/01/1641,F,,,2,15/12/1640 Âm lịch
C1-N1,Robert Carter,01/01/1585,01/01/1655,M,,#man1,3,14/12/1654 Âm lịch
C1-N1w1,Emily Ward,01/01/1587,01/01/1657,F,,,3,15/12/1656 Âm lịch
C1-N1w2,Clara Dean,01/01/1589,01/01/1659,F,,,3,16/12/1658 Âm lịch
C1-N2,Samuel Carter,01/01/1585,01/01/1655,M,,#man1,3,14/12/1654 Âm lịch
C1-N2w1,Hannah Perry,01/01/1587,01/01/1657,F,,,3,15/12/1656 Âm lịch
C1-N2w2,Ruth King,01/01/1589,01/01/1659,F,,,3,16/12/1658 Âm lịch
C1-N3,Charles Carter,01/01/1585,01/01/1655,M,,#man1,3,14/12/1654 Âm lịch
C1-N3w1,Laura Hayes,01/01/1587,01/01/1657,F,,,3,15/12/1656 Âm lịch
C1-N3w2,Susan Cole,01/01/1589,01/01/1659,F,,,3,16/12/1658 Âm lịch
C2-N1,George Carter,01/01/1585,01/01/1655,M,,#man1,3,14/12/1654 Âm lịch
C2-N1w1,Rachel King,01/01/1587,01/01/1657,F,,,3,15/12/1656 Âm lịch
C2-N1w2,Zoe Parker,01/01/1589,01/01/1659,F,,,3,16/12/1658 Âm lịch
C2-N2,Arthur Carter,01/01/1585,01/01/1655,M,,#man1,3,14/12/1654 Âm lịch
C2-N2w1,Julia Shaw,01/01/1587,01/01/1657,F,,,3,15/12/1656 Âm lịch
C2-N2w2,Eva Ross,01/01/1589,01/01/1659,F,,,3,16/12/1658 Âm lịch
C2-N3,Louis Carter,01/01/1585,01/01/1655,M,,#man1,3,14/12/1654 Âm lịch
C2-N3w1,Anna Bell,01/01/1587,01/01/1657,F,,,3,15/12/1656 Âm lịch
C2-N3w2,Kate Lynn,01/01/1589,01/01/1659,F,,,3,16/12/1658 Âm lịch
C3-N1,Philip Carter,01/01/1585,01/01/1655,M,,#man1,3,14/12/1654 Âm lịch
C3-N1w1,Lily Ford,01/01/1587,01/01/1657,F,,,3,15/12/1656 Âm lịch
C3-N1w2,Nora Lane,01/01/1589,01/01/1659,F,,,3,16/12/1658 Âm lịch
C3-N2,John Carter,01/01/1585,01/01/1655,M,,#man1,3,14/12/1654 Âm lịch
C3-N2w1,Martha Cole,01/01/1587,01/01/1657,F,,,3,15/12/1656 Âm lịch
C3-N2w2,Grace Hart,01/01/1589,01/01/1659,F,,,3,16/12/1658 Âm lịch
C3-N3,Paul Carter,01/01/1585,01/01/1655,M,,#man1,3,14/12/1654 Âm lịch
